ROW,NAME,LCITY,LAT,LON,TYPE
51,Bridges School- Amherst Program,Riverside,41.050051,-73.572071,daycare
52,Chabad Gan Of Greenwich,Greenwich,41.0298,-73.624501,daycare
53,Children's Day School Inc.,Greenwich,41.037501,-73.664017,daycare
54,Children's Day School Inc.,Riverside,41.040301,-73.586462,daycare
55,Christ Church Nursery School,Greenwich,41.03190073,-73.6193233,daycare
56,Cos Cob Play Group,Cos cob,41.03975381,-73.59805656,daycare
57,Family Centers Preschool,Greenwich,41.02341643,-73.62789992,daycare
58,First Church Preschool,Old greenwich,41.03661251,-73.5687205,daycare
59,First Presbyterian Church Nur Sch,Greenwich,41.03153379,-73.62829329,daycare
60,Gateway School,Greenwich,41.01541397,-73.65196618,daycare
61,Glenville Child Care Inc. At Wms,Greenwich,41.01039,-73.648759,daycare
62,Greenwich Family Ymca @ New Lebanon,Greenwich,41.0015,-73.656022,daycare
63,Greenwich Family Ymca Child Care,Greenwich,41.01757035,-73.63981683,daycare
64,Greenwich Kokusai Garkuen/wideworld,Cos cob,41.041292,-73.592738,daycare
65,International School Child Care,Old greenwich,41.034683,-73.567051,daycare
66,Joan Melber Warburg Early Childhood,Greenwich,41.0217744,-73.63323826,daycare
67,Little Friends,Greenwich,41.02024485,-73.64472937,daycare
68,Mencius Mandarin Preschool,Greenwich,41.036651,-73.604321,daycare
69,North Greenwich Nursery School,Greenwich,41.09575085,-73.68959008,daycare
70,Old Greenwich School Child Care,Old greenwich,41.02949653,-73.5676233,daycare
71,Pat-a-cake Playschool Inc.,Greenwich,41.00666853,-73.65395772,daycare
72,Putnam-indian Field School Inc,Greenwich,41.025599,-73.605488,daycare
73,Round Hill Nur Sch Inc 'first Step',Greenwich,41.09555191,-73.66615761,daycare
74,Round Hill Nursery School,Greenwich,41.1053844,-73.66860802,daycare
75,Selma Maisel Nursery School,Greenwich,41.03597979,-73.61710508,daycare
76,St Paul's Day School,Riverside,41.027301,-73.584271,daycare
77,St. Saviour's Church Nrsry Sch,Old greenwich,41.024181,-73.565782,daycare
78,The Learning Garden Christian Preschool,Greenwich,41.08215611,-73.71168879,daycare
79,The Preschool @ Second Congregational,Greenwich,41.03553421,-73.62315787,daycare
80,Tiny Tots' School,Riverside,41.034071,-73.587911,daycare
81,Ymca Greenwich Child Care@ North Mianus,Riverside,41.057701,-73.580851,daycare
82,Ywca Child Care Center,Greenwich,41.03831321,-73.61841275,daycare
83,Beginner's Nature Program,New canaan,41.153663,-73.4995,daycare
84,Beginner's Nature Program--annex,New canaan,41.153663,-73.4995,daycare
85,Day Care Center Of New Canaan Inc,New canaan,41.141392,-73.491369,daycare
86,First Presbyterian Nrsry Sch,New canaan,41.154611,-73.499944,daycare
87,New Canaan Community Nursery School,New canaan,41.136889,-73.47721,daycare
88,New Canaan Ymca Child Development Center,New canaan,41.129454,-73.486525,daycare
89,Playland Nursery School - Brown,New canaan,41.139669,-73.527446,daycare
90,Playland Nursery School - Redwood,New canaan,41.139669,-73.527446,daycare
91,Playland Nursery School - White,New canaan,41.139669,-73.527446,daycare
92,St Mark's Nursery School,New canaan,41.151454,-73.498336,daycare
93,The Tot's Spot,New canaan,41.135064,-73.49675,daycare
94,Toddler Time To Five,New canaan,41.148667,-73.495761,daycare
95,United Methodist Church Nrsry School,New canaan,41.141136,-73.491417,daycare
96,Christian Day Nursery School,Danbury,41.391612,-73.453537,daycare
97,Beehive Children's Center Inc.,New milford,41.53932,-73.422131,daycare
98,Children's Center Of New Milford Inc,New milford,41.581709,-73.41259,daycare
99,Education Center Of United Methodist,New milford,41.56507,-73.414832,daycare
100,For Children Only Inc.,New milford,41.544811,-73.413092,daycare
101,Holy Infant Nursery School,New milford,41.58059,-73.411391,daycare
102,Kinder Care Learning Center,New milford,41.54645,-73.420532,daycare
103,Litchfield County Head Start-hill & Plain,New milford,41.53444,-73.429692,daycare
104,Litchfield County Head Start-pettibone,New milford,41.56346,-73.411572,daycare
105,Little People N.s. First Assembly Of God,New milford,41.601591,-73.403322,daycare
106,Tia's Country Day Care & School,New milford,41.599831,-73.403862,daycare
107,Time For Children,New milford,41.600691,-73.406782,daycare
108,Top Flight Sports Center Preschool,New milford,41.563621,-73.411822,daycare
109,Wow Kids Learning Center And Child Care,New milford,41.5039,-73.418442,daycare
110,Housatonic Valley Waldorf Schl Early,Newtown,41.378557,-73.354368,daycare
111,A Kid's Place Inc.,Norwalk,41.103351,-73.427131,daycare
112,All Saints Daycare,Norwalk,41.13621,-73.414982,daycare
113,Busy Bodies Child Care Center Inc.,Norwalk,41.153611,-73.412662,daycare
114,Carousel Preschool Day Nursery Inc,Norwalk,41.123823,-73.409933,daycare
115,Carver After School Program For,Norwalk,41.11382,-73.413492,daycare
116,Children's Playhouse,Norwalk,41.08645,-73.429732,daycare
117,Columbus Magnet School,Norwalk,41.093461,-73.420441,daycare
118,Community Co-op Nrsry Sch Inc.,Norwalk,41.0751,-73.430172,daycare
119,Cranbury Elementary School,Norwalk,41.155383,-73.403367,daycare
120,Five Mile River Nursery School,Norwalk,41.069598,-73.442509,daycare
121,Fox Run Elementary School,Norwalk,41.114951,-73.454242,daycare
122,Growing Seeds Child Development Center,Norwalk,41.099971,-73.422461,daycare
123,Happy Time Nursery School,Norwalk,41.133176,-73.4526,daycare
124,L'il Critters Preschool Inc.,Norwalk,41.119738,-73.408251,daycare
125,Marvin Children's Center,Norwalk,41.097861,-73.400171,daycare
126,Naramake Family Resource Center Inc.,Norwalk,41.119271,-73.391341,daycare
127,Neon At Ben Franklin,Norwalk,41.09778,-73.424801,daycare
128,Nitzan Nursery School,Norwalk,41.11463,-73.407671,daycare
129,Norwalk Comm Child Development,Norwalk,41.1016,-73.451321,daycare
130,Ponus Ridge @ Middle School,Norwalk,41.122061,-73.431708,daycare
131,Room To Grow,Norwalk,41.10567,-73.405012,daycare
132,Safe & Sound Day Care Ii,Norwalk,41.094221,-73.434522,daycare
133,Silvermine School,Norwalk,41.14797,-73.440311,daycare
134,Sonshine Christian Children's Center,Norwalk,41.115494,-73.415064,daycare
135,The Center Day Care,Norwalk,41.156971,-73.422202,daycare
136,The Children's Playhouse Inc.,Norwalk,41.103111,-73.419861,daycare
137,The Clover Hill School Inc.,Norwalk,41.102831,-73.402341,daycare
138,Toni's Day Care,Norwalk,41.120311,-73.405671,daycare
139,Tracey Elementary School,Norwalk,41.12422,-73.413984,daycare
140,Tumble Bugs Day School,Norwalk,41.136171,-73.401471,daycare
141,Tutor Time Child Care Learning Center,Norwalk,41.150619,-73.425144,daycare
142,United Church Nursery School,Norwalk,41.07143,-73.444002,daycare
143,West Norwalk Nursery School,Norwalk,41.113401,-73.453492,daycare
144,West Rocks Middle School,Norwalk,41.13484,-73.414302,daycare
145,Ymca Of Norwalk Inc. Little Wonders,Norwalk,41.1114,-73.416901,daycare
146,Kid's Time Preschool & Daycare Inc.,Redding,41.26073,-73.429272,daycare
147,Montessori School Of Redding Llc,Redding center,41.30721,-73.38244,daycare
148,Pinewood Learning Center,Redding,41.314111,-73.464331,daycare
149,All For Kids,Ridgefield,41.314911,-73.472892,daycare
150,Almost Home,Ridgefield,41.295437,-73.495203,daycare
151,Apple Blossom Children's Center,Ridgefield,41.37526,-73.526189,daycare
152,Children's Corner Inc.,Ridgefield,41.323848,-73.510459,daycare
153,Creative Children's Korner Inc.,Ridgefield,41.2662,-73.525792,daycare
154,Jesse Lee Day School,Ridgefield,41.27559,-73.497531,daycare
155,Kaleidoscope Kids,Ridgefield,41.361015,-73.524635,daycare
156,My Nursery School,Ridgefield,41.31281,-73.514801,daycare
157,Ridgefield Community Kindergarten,Ridgefield,41.278645,-73.497999,daycare
158,Ridgefield Montessori School,Ridgefield,41.292111,-73.493502,daycare
159,St. Stephen's Nursery School,Ridgefield,41.279575,-73.498305,daycare
160,Sherman Nursery School,Sherman,41.598121,-73.496171,daycare
161,All About Kids Inc.,Stamford,41.05657,-73.506512,daycare
162,Art Nature & Me @ Stamford Museum &,Stamford,41.123641,-73.545692,daycare
163,Baby Cottage Ii,Stamford,41.096414,-73.519834,daycare
164,Baby Cottage Inc.,Stamford,41.09781,-73.531551,daycare
165,Bright Horizons @ High Ridge Park,Stamford,41.112074,-73.544099,daycare
166,Bright Minds,Stamford,41.056931,-73.536943,daycare
167,Brookdale Nursery School,Stamford,41.132998,-73.546691,daycare
168,Canaan Ridge School Inc,Stamford,41.157341,-73.596301,daycare
169,Chester Addison Child Development Center,Stamford,41.04149796,-73.55736881,daycare
170,Chester Addison Comm Ctr Study Zone Asp,Stamford,41.04190865,-73.55752497,daycare
171,Creative Care Child Care,Stamford,41.056591,-73.543131,daycare
172,Cte After School Academy,Stamford,41.041911,-73.536682,daycare
173,Davco Activities Program,Stamford,41.103861,-73.530852,daycare
174,First Presbyterian Church Nur Sch,Stamford,41.062801,-73.539701,daycare
175,First United Methodist Nursery School,Stamford,41.076981,-73.552581,daycare
176,Forest Street Child Development Center,Stamford,41.056931,-73.536943,daycare
177,Franklin Commons Child Development,Stamford,41.059441,-73.542212,daycare
178,Gan Yeladim Preschool,Stamford,41.097055,-73.54784,daycare
179,Glenbrook Comm Ctr Playschool,Stamford,41.070241,-73.518602,daycare
180,Gray Farms Nursery School,Stamford,41.08957,-73.534051,daycare
181,Hartco Activities Program,Stamford,41.057621,-73.547821,daycare
182,Italian Center Nursery School,Stamford,41.11522,-73.533951,daycare
183,J.c.c. Child Care Programs,Stamford,41.094061,-73.532012,daycare
184,Jeanne Hudgens Head Start Center,Stamford,41.059626,-73.520396,daycare
185,K.t. Murphy Community School,Stamford,41.04783,-73.510601,daycare
186,Lathon Wider Child Development Center,Stamford,41.044521,-73.538532,daycare
187,Lead Academy,Stamford,41.05246,-73.542221,daycare
188,Learning Center At Piper's Hill Inc.,Stamford,41.089051,-73.560802,daycare
189,Little Folks Playschool Llc,Stamford,41.114731,-73.530182,daycare
190,Long Ridge Child Development Center,Stamford,41.095361,-73.563491,daycare
191,Mark Of Excellence,Stamford,41.055221,-73.533712,daycare
192,Martin Luther King Preschool,Stamford,41.05127561,-73.54868627,daycare
193,Mother's Little Helper Ed. Day Care Inc.,Stamford,41.048086,-73.548831,daycare
194,Mrs. Bee's Learn And Play Llc,Stamford,41.08204,-73.521782,daycare
195,Newco Activities Program,Stamford,41.091237,-73.54057,daycare
196,Noah's Ark Nursery School,Stamford,41.059215,-73.527516,daycare
197,Northco Activities Program,Stamford,41.123971,-73.547631,daycare
198,Our Lady Of Grace Day Care Ctr,Stamford,41.074131,-73.517122,daycare
199,Palmers Hill Child Devlopment Center,Stamford,41.05918,-73.563072,daycare
200,Quamco Activities Program,Stamford,41.081797,-73.522989,daycare
201,Quintard Manor Head Start,Stamford,41.056151,-73.525812,daycare
202,Rogers Family Resource Child Care,Stamford,41.05327,-73.521442,daycare
203,Roxco Activities Program,Stamford,41.089078,-73.565009,daycare
204,Saint Ann's Nursery School,Stamford,41.058331,-73.551722,daycare
205,Shiny Little Stars,Stamford,41.08173,-73.533981,daycare
206,Springco Activities Program,Stamford,41.09684,-73.519931,daycare
207,Starkco Activities Program,Stamford,41.06668,-73.521701,daycare
208,Stillco Activities,Stamford,41.06879,-73.558081,daycare
209,Stillmeadow School Readiness Program,Stamford,41.06879,-73.558081,daycare
210,Ubs Child Development Center Redmen's Hall,Stamford,41.049499,-73.540755,daycare
211,Union Memorial Preschool,Stamford,41.071214,-73.521289,daycare
212,Villa Divino Amore Nursery School,Stamford,41.06478,-73.526451,daycare
213,Westco Activities Program,Stamford,41.057664,-73.55988,daycare
214,Westover School Readiness & Family,Stamford,41.057664,-73.55988,daycare
215,William Pitt Child Development Center,Stamford,41.063281,-73.527662,daycare
216,Yerwood Day Care Center,Stamford,41.04821344,-73.5506661,daycare
217,Yerwood Scholars After School Program,Stamford,41.048785,-73.551361,daycare
218,Emmanuel Nursery School,Weston,41.222891,-73.347502,daycare
219,Norfield Children's Center Inc.,Weston,41.202281,-73.377341,daycare
220,St. Francis Of Assisi Pre-school,Weston,41.200001,-73.383112,daycare
221,A Child's Place,Westport,41.127181,-73.345432,daycare
222,Children's Community Development Center,Westport,41.127181,-73.345432,daycare
223,Christ And Holy Trinity Church Day School,Westport,41.142393,-73.359796,daycare
224,Conservative Synagogue Preschool,Westport,41.133875,-73.343219,daycare
225,Earthplace Nursery School,Westport,41.144486,-73.379149,daycare
226,Learning Community Day Sch Inc,Westport,41.127181,-73.345432,daycare
227,Old Hill Children's Day School Llc,Westport,41.150281,-73.368611,daycare
228,Pumpkin Preschool Of Westport Inc.,Westport,41.137025,-73.367208,daycare
229,Saugatuck Nursery School Inc.,Westport,41.141261,-73.357481,daycare
230,St. Paul Christian School,Westport,41.170341,-73.351392,daycare
231,Temple Israel Early Childhood Center,Westport,41.177811,-73.355152,daycare
232,Three Four Open The Door Llc,Westport,41.166361,-73.381812,daycare
233,Westport Community Nursery School Inc,Westport,41.168421,-73.361231,daycare
234,Westport/weston Ymca Childcare,Westport,41.141448,-73.361134,daycare
235,Westport-weston Coop Nur Sch Inc,Westport,41.176288,-73.358369,daycare
236,Apple Blossom School And Family Center,Wilton,41.21737,-73.428452,daycare
237,Belden Hill Montessori Llc,Wilton,41.173071,-73.438662,daycare
238,Bright Horizons At Wilton,Wilton,41.192171,-73.432372,daycare
239,Children's Day School Of Wilton Inc.,Wilton,41.1975,-73.441452,daycare
240,Community Nursery School Of Wilton Inc.,Wilton,41.19334,-73.433272,daycare
241,Creative Play Llc,Wilton,41.262236,-73.437539,daycare
242,First Step Christian Day School,Wilton,41.176241,-73.436841,daycare
243,Helen Gander Friends Nursery School,Wilton,41.16575,-73.461121,daycare
244,Homespun Learning Environment Ltd,Wilton,41.21992,-73.427941,daycare
245,Leaps 'n Bounds Child Care Services Llc,Wilton,41.19735,-73.431432,daycare
246,Pandas Playmates,Wilton,41.211331,-73.432051,daycare
247,Town And Country Montessori School Inc.,Wilton,41.229361,-73.425551,daycare
248,Wilton Family Ymca Nursery School,Wilton,41.211331,-73.432051,daycare
249,Zion's Hill Preschool Program,Wilton,41.221061,-73.427201,daycare
250,Prince Of Peace Nursery School,Brookfield,41.45561,-73.399731,daycare
251,Noroton Presbyterian Nrsry Sch,Darien,41.06018,-73.488072,daycare
252,First Presbyterian Church Ns 2 Yr Old,Greenwich,41.03123192,-73.62802017,daycare
253,First Step Pre-school Inc. Ii,New fairfield,41.466543,-73.485289,daycare
254,New Fairfield Bright Beginnings Inc,New fairfield,41.456844,-73.477429,daycare
255,The Growing Tree Nursery School Llc,Ridgefield,41.283795,-73.495361,daycare
256,Little Munchkin Day Care Inc.,Sherman,41.57938,-73.495282,daycare
257,Bright Horizons Children's Center,Stamford,41.044324,-73.55137,daycare
258,Jewish Comm Ctr Sara Walker N.s. Temple Sinai,Stamford,41.123794,-73.535568,daycare
259,Rippowam Child Development Center,Stamford,41.052671,-73.56667,daycare
260,Falls Village Day Care Center,Falls village,41.96040364,-73.34802911,daycare
261,Puddle Jumpers Day Care Center Llc,Canaan,42.010006,-73.350342,daycare
262,Cornwall Child Center Inc.,West cornwall,41.876327,-73.340756,daycare
263,Kent Children's Center,Kent,41.730166,-73.472998,daycare
264,Kent Community Nursery School,Kent,41.724779,-73.477216,daycare
265,Kent School Early Learning Center Route,Kent,41.732612,-73.460607,daycare
266,Cynthia White Children's Center,Lakeville,41.946073,-73.444406,daycare
267,Extras,Salisbury,41.97067792,-73.43643373,daycare
268,Housatonic Day Care,Salisbury,41.97315165,-73.40911374,daycare
269,Little Scholar School,Lakeville,41.962607,-73.439397,daycare
270,Beginning Years Childrens Center,Sharon,41.879472,-73.4799,daycare
271,Sharon Day Care Center Inc. Po Box,Sharon,41.876291,-73.477088,daycare
272,Warren Church Community Childcare,Cornwall bridge,41.743965,-73.348804,daycare
273,Comm Org & Oper Latch Key  (cool),Andover,41.72843934,-72.36873426,daycare
274,Indian Valley Ymca Ashford Saccp,Ashford,41.891035,-72.169711,daycare
275,Kidderbrook Montessori School,Ashford,41.916244,-72.211107,daycare
276,Apple Tree Children's Center,Avon,41.811381,-72.865081,daycare
277,Avon Congregational Church Nursery,Avon,41.809821,-72.831031,daycare
278,Christ Church Nursery School,Avon,41.7668,-72.858972,daycare
279,Churchery School,Avon,41.76568,-72.870521,daycare
280,Educational Playcare Ltd,Avon,41.819996,-72.829271,daycare
281,Educational Playcare Ltd.,Avon,41.818261,-72.829832,daycare
282,Pine Grove Fun Co.,Avon,41.77679,-72.854522,daycare
283,Pine Grove Nursery School,Avon,41.79025,-72.860291,daycare
284,Pooh's Corner Inc.,Avon,41.814111,-72.866761,daycare
285,The Farmington Academy Inc.,Bristol,41.81733324,-72.83385252,daycare
286,Wish Upon A Star,Avon,41.80026,-72.819222,daycare
287,Barkhamsted School Age Child Care,Pleasant valley,41.91110674,-72.98983552,daycare
288,Bethlehem Day Care Inc.,Bethlehem,41.65132,-73.202582,daycare
289,Bethel Day Care Center,Bloomfield,41.83702,-72.699342,daycare
290,Bloomfield Early Learning Center,Bloomfield,41.819827,-72.700115,daycare
291,Bloomfield Working Parents Child Care,Bloomfield,41.822607,-72.712846,daycare
292,Bright Horizons Family Solution @,Bloomfield,41.81058,-72.749096,daycare
293,Crt Eric D. Coleman E.c.e. Center,Bloomfield,41.82321,-72.696262,daycare
294,First Cong Church Nursery School,Bloomfield,41.831881,-72.736611,daycare
295,Kiddie Academy Of Bloomfield,Bloomfield,41.835066,-72.737459,daycare
296,Kids' Place Inc.,Bloomfield,41.818291,-72.724961,daycare
297,Bolton Cooperative Nursery Inc,Bolton,41.769511,-72.432939,daycare
298,Hans Christian Andersen Montessori,Bolton,41.77078,-72.435036,daycare
299,Yw Kidslink In Bolton,Bolton,41.776607,-72.442755,daycare
300,A Place To Grow Too,Bristol,41.648909,-72.907597,daycare
301,Bco/bristol Head Start,Bristol,41.658839,-72.922899,daycare
302,Bingham Fun Club,Bristol,41.681648,-72.949101,daycare
303,Bristol Boys & Girls Club Assoc./pleasant,Bristol,41.670136,-72.945637,daycare
304,Bristol Boys/girls Club Assn./laurel St.,Bristol,41.672835,-72.947801,daycare
305,Bristol Boys/girls Club Assoc./d. Beals,Bristol,41.683737,-72.903295,daycare
306,Bristol Head Start,Bristol,41.667801,-72.946321,daycare
307,Bristol Hospital Child Development Center,Bristol,41.680288,-72.947117,daycare
308,Bristol Preschool Child Care Center Inc.,Bristol,41.670421,-72.944394,daycare
309,Carrier Learning Center Llc,Bristol,41.697229,-72.904248,daycare
310,Century Nursery School,Bristol,41.677626,-72.940877,daycare
311,Christian Nursery School,Bristol,41.687981,-72.925252,daycare
312,Edgewood Fun Club,Bristol,41.70115,-72.922159,daycare
313,Family Center For Girls And Boys,Bristol,41.669099,-72.946793,daycare
314,Greene Hills Fun Club,Bristol,41.668886,-72.8968,daycare
315,Hubbell Fun Club,Bristol,41.677526,-72.908713,daycare
316,Ivy Drive Fun Club,Bristol,41.705841,-72.901161,daycare
317,Jennings Fun Club,Bristol,41.690202,-72.943555,daycare
318,Liberty Baptist Child Care Center,Bristol,41.704958,-72.937275,daycare
319,Mt. View Fun Club,Bristol,41.694424,-72.898706,daycare
320,Queen Of Apostles Montessori Education,Bristol,41.66439,-72.931869,daycare
321,South Side Fun Club,Bristol,41.666794,-72.936255,daycare
322,Stafford Fun Club,Bristol,41.689167,-72.91773,daycare
323,Whiz Kids Child Development Center,Bristol,41.653531,-72.897823,daycare
324,Carelot Children's Center Inc.- Brooklyn,Brooklyn,41.799577,-71.897149,daycare
325,Tvcca Brooklyn-killingly Early Childhood,Brooklyn,41.799415,-71.888024,daycare
326,Burlington Academy Of Learning,Burlington,41.768197,-72.961938,daycare
327,Burlington Academy Of Learning,Burlington,41.769352,-72.962008,daycare
328,Joni's Child Care And Pre-school,Burlington,41.77116,-72.971672,daycare
329,Kordas Korner Llc Preschool,Burlington,41.769021,-72.966741,daycare
330,Lake Garda Fun Club,Burlington,41.74252,-72.907461,daycare
331,Young Beginnings Children's Center Inc. I,Burlington,41.769084,-72.96633,daycare
332,Young Beginnings Children's Center Inc. Ii,Burlington,41.769031,-72.966921,daycare
333,Canaan Child Care Center,Canaan,42.033215,-73.330184,daycare
334,Canterbury Children's Academy Inc.,Canterbury,41.705218,-71.988186,daycare
335,Canton Community Nursery School,North canton,41.892481,-72.892802,daycare
336,Canton Community Nursery School,Canton,41.824441,-72.896852,daycare
337,Joni's Child Care,Canton,41.831841,-72.913142,daycare
338,Kindercare Learning Center,Canton,41.82448,-72.895822,daycare
339,Stepping Stones Education Center,Canton,41.832308,-72.917547,daycare
340,Trinity Episcopal Nursery School,Collinsville,41.811383,-72.923047,daycare
341,Carelot Children's Center,Chaplin,41.755045,-72.149675,daycare
342,Colebrook Child Care Llc,Colebrook,41.97124,-73.04744,daycare
343,Coventry Early Childhood Center Inc.,Coventry,41.768053,-72.300583,daycare
344,Apple Tree Children's Center,East granby,41.940515,-72.72482,daycare
345,Kindercare Learning Center,East granby,41.929171,-72.714332,daycare
346,Martin Group Day Care Home,East granby,41.953931,-72.772272,daycare
347,Ymca Allgrove School Fun Company,East granby,41.94418,-72.731782,daycare
348,Happy Hours Nursery & Day Care Center Inc.,East hartford,41.761251,-72.637791,daycare
349,Silva's Youth Of Today Learning Center Llc,East hartford,41.763671,-72.615121,daycare
350,South Congregational Church Nursery,East hartford,41.736991,-72.605101,daycare
351,Ymca Child Care Center,East hartford,41.736301,-72.615063,daycare
352,Ymca First Church,East hartford,41.7691,-72.643941,daycare
353,Ymca Larson Center,East hartford,41.77874,-72.592962,daycare
354,Ymca Magnet School,East hartford,41.735084,-72.590548,daycare
355,Ymca O'brien School,East hartford,41.792892,-72.610358,daycare
356,Ywca East Hartford Early Learning Center,East hartford,41.77628,-72.628362,daycare
357,Work And Play School,East windsor,41.89346,-72.604421,daycare
358,Grammy's Garden,East windsor,41.908701,-72.613157,daycare
359,Growing Tree Child Development Center,East windsor,41.89866,-72.581011,daycare
360,Children's Choice Learning Ctr Of,Ellington,41.90108,-72.460877,daycare
361,Ellington Christian Nursery  School,Ellington,41.911384,-72.44913,daycare
362,Little Nursery School,Ellington,41.875668,-72.457753,daycare
363,Preschool Of The Arts Inc.,Ellington,41.904283,-72.469031,daycare
364,Scotty's Kiddy Korner Preschool &,Ellington,41.877921,-72.463825,daycare
365,Ymca Ellington Latch Key Program,Ellington,41.902638,-72.464405,daycare
366,Country Day School - Annex,Enfield,41.994851,-72.594291,daycare
367,Apple Tree Learning Center,Enfield,41.9981,-72.580996,daycare
368,Bright Horizons Family Solutions,Enfield,41.96931,-72.565132,daycare
369,Calvary Christian Childhood Center,Enfield,41.959966,-72.597917,daycare
370,Country Day School - Main Bldg.,Enfield,41.994851,-72.594291,daycare
371,Happy Time Preschool Llc,Enfield,41.960612,-72.575457,daycare
372,Hazardville Day Care Center Llc,Enfield,41.986171,-72.536071,daycare
373,Here Wee Grow,Enfield,41.98617,-72.537853,daycare
374,Kids Kare Child Care,Enfield,41.985581,-72.510052,daycare
375,Kids Kare Child Care & Learning Ctr Llc,Enfield,41.95939,-72.598641,daycare
376,Milestones Child Care & Learning Center,Enfield,41.999951,-72.594122,daycare
377,New England Preschool Academy Inc.,Enfield,41.960001,-72.574721,daycare
378,New England Preschool Academy Inc.,Enfield,42.003061,-72.592932,daycare
379,Our Redeemer Nursery School,Enfield,41.990216,-72.541202,daycare
380,This Is The Way..learning Center,Enfield,42.002071,-72.563941,daycare
381,Town Of Enfield Child Development Center,Enfield,41.996815,-72.597077,daycare
382,Town Of Enfield Child Development Center,Enfield,41.976952,-72.569405,daycare
383,Creative Child Center,Farmington,41.735778,-72.795135,daycare
384,Educational Playcare,Farmington,41.711948,-72.807718,daycare
385,Farmington Early Learning Center Inc.,Unionville,41.747353,-72.886986,daycare
386,Gateway Christian School,Farmington,41.724134,-72.796238,daycare
387,Joni's Child Care & Preschool,Farmington,41.748594,-72.854903,daycare
388,Kids Corner Nursery School,Farmington,41.746612,-72.854372,daycare
389,Kinder Care Learning Center #0279,Farmington,41.705734,-72.869186,daycare
390,Kindercare Learning Center Inc. #1791,Farmington,41.726302,-72.801035,daycare
391,Ladder Of Learning-discovery Center,Farmington,41.744469,-72.861239,daycare
