DepartmentName,black_p,b_t_s_diff,black_16,b_t_s_pop_diff,b_distance,resident_b_p_r
Meriden,14.99%,0.93%,7.80%,-1.32%,2.25%,35.31%
Middlebury,3.39%,-10.67%,0.00%,-9.12%,-1.55%,100.00%
Middletown,19.75%,5.69%,11.68%,2.56%,3.14%,39.29%
Milford,12.65%,-1.41%,2.23%,-6.89%,5.48%,84.83%
Monroe,5.21%,-8.85%,1.32%,-7.80%,-1.05%,85.43%
Naugatuck,9.39%,-4.67%,4.11%,-5.01%,0.34%,56.66%
New Britain,17.69%,3.63%,10.67%,1.55%,2.07%,30.14%
New Canaan,6.09%,-7.97%,1.06%,-8.06%,0.09%,88.34%
New Haven,41.57%,27.51%,32.16%,23.04%,4.47%,31.06%
New London,19.08%,5.02%,15.18%,6.06%,-1.04%,34.62%
New Milford,4.26%,-9.80%,1.69%,-7.43%,-2.36%,61.45%
Newington,14.61%,0.55%,2.99%,-6.13%,6.67%,87.64%
Newtown,5.42%,-8.64%,0.68%,-8.44%,-0.20%,91.67%
North Branford,5.29%,-8.77%,1.33%,-7.79%,-0.98%,88.68%
North Haven,11.82%,-2.24%,2.91%,-6.21%,3.96%,89.86%
Norwalk,20.18%,6.12%,13.13%,4.01%,2.11%,53.07%
Norwich,18.80%,4.74%,8.96%,-0.16%,4.89%,37.95%
Old Saybrook,3.06%,-11.00%,0.00%,-9.12%,-1.88%,79.81%
Orange,18.30%,4.24%,1.31%,-7.81%,12.05%,97.98%
Plainfield,3.13%,-10.93%,0.96%,-8.16%,-2.78%,67.92%
Plainville,7.97%,-6.09%,2.73%,-6.39%,0.30%,75.48%
Plymouth,4.65%,-9.41%,0.00%,-9.12%,-0.29%,90.63%
Portland,2.25%,-11.81%,1.87%,-7.25%,-4.56%,75.00%
Putnam,2.96%,-11.10%,1.17%,-7.95%,-3.16%,51.61%
Redding,3.96%,-10.10%,0.00%,-9.12%,-0.98%,93.51%
Ridgefield,4.42%,-9.64%,0.77%,-8.35%,-1.29%,94.43%
Rocky Hill,10.31%,-3.75%,3.77%,-5.35%,1.60%,80.99%
Southern CT State University*,55.46%,41.40%,32.16%,23.04%,18.36%,52.50%
Seymour,6.66%,-7.40%,2.25%,-6.87%,-0.53%,80.35%
Shelton,7.60%,-6.46%,2.07%,-7.05%,0.59%,70.45%
Simsbury,4.94%,-9.12%,1.46%,-7.66%,-1.46%,72.39%
South Windsor,15.97%,1.91%,3.68%,-5.44%,7.36%,84.03%
Southington,1.96%,-12.10%,1.34%,-7.78%,-4.32%,74.07%
Stamford,14.46%,0.40%,12.86%,3.74%,-3.34%,28.08%
Stonington,3.54%,-10.52%,0.82%,-8.30%,-2.22%,70.71%
Stratford,32.60%,18.54%,12.76%,3.64%,14.91%,62.15%
Suffield,4.25%,-9.81%,1.40%,-7.72%,-2.10%,90.74%
Thomaston,1.98%,-12.08%,0.00%,-9.12%,-2.96%,92.86%
Torrington,4.73%,-9.33%,2.12%,-7.00%,-2.33%,37.65%
Trumbull,20.41%,6.35%,2.90%,-6.22%,12.57%,93.36%
University of Connecticut*,10.01%,-4.05%,4.03%,-5.09%,1.04%,93.98%
Vernon,14.93%,0.87%,4.70%,-4.42%,5.29%,61.69%
Wallingford,8.72%,-5.34%,1.34%,-7.78%,2.45%,87.79%
Waterbury,27.37%,13.31%,17.37%,8.25%,5.06%,13.20%
Waterford,11.94%,-2.12%,2.29%,-6.83%,4.71%,89.66%
Watertown,8.08%,-5.98%,1.24%,-7.88%,1.91%,86.41%
Western CT State University*,10.13%,-3.93%,6.42%,-2.70%,-1.24%,37.50%
West Hartford,14.78%,0.72%,5.65%,-3.47%,4.19%,88.65%
West Haven,25.49%,11.43%,17.70%,8.58%,2.84%,52.75%
Weston,8.86%,-5.20%,1.25%,-7.87%,2.67%,84.38%
Westport,11.04%,-3.02%,1.22%,-7.90%,4.89%,95.78%
Wethersfield,18.51%,4.45%,2.75%,-6.37%,10.82%,94.10%
Willimantic,6.38%,-7.68%,4.08%,-5.04%,-2.64%,53.62%
Wilton,8.23%,-5.83%,1.01%,-8.11%,2.28%,95.67%
Windsor,43.81%,29.75%,32.20%,23.08%,6.67%,58.07%
Windsor Locks,14.50%,0.44%,4.27%,-4.85%,5.29%,80.36%
Winsted,4.14%,-9.92%,1.04%,-8.08%,-1.84%,60.87%
Wolcott,6.74%,-7.32%,1.53%,-7.59%,0.27%,96.00%
Woodbridge,23.35%,9.29%,1.94%,-7.18%,16.47%,97.06%
Yale University*,36.17%,22.11%,32.16%,23.04%,-0.93%,63.43%
Connecticut average,14.10%,0.00%,9.10%,0.00%,,59.81%
