DepartmentName,hispanic_p,h_t_s_diff,hispanic_16,h_t_s_pop_diff,h_distance,resident_h_p_r
Groton Long Point**,1.35%,-11.11%,0.00%,-11.91%,0.80%,100.00%
Groton Town,8.48%,-3.98%,7.40%,-4.51%,0.53%,67.00%
Guilford,3.96%,-8.50%,2.90%,-9.01%,0.51%,70.09%
Hamden,8.90%,-3.56%,7.58%,-4.33%,0.78%,67.59%
Hartford,24.97%,12.51%,41.02%,29.11%,-16.60%,37.55%
Madison,4.31%,-8.15%,1.73%,-10.18%,2.04%,91.25%
Manchester,14.65%,2.19%,9.89%,-2.02%,4.20%,50.32%
Meriden,34.73%,22.27%,24.86%,12.95%,9.32%,20.26%
Middlebury,6.78%,-5.68%,2.22%,-9.69%,4.00%,83.33%
Middletown,9.60%,-2.86%,6.77%,-5.14%,2.28%,53.99%
Milford,9.69%,-2.77%,4.45%,-7.46%,4.70%,79.55%
Monroe,6.60%,-5.86%,4.30%,-7.61%,1.75%,85.38%
Naugatuck,10.98%,-1.48%,7.77%,-4.14%,2.66%,50.09%
New Britain,41.23%,28.77%,31.75%,19.84%,8.93%,19.22%
New Canaan,9.71%,-2.75%,2.69%,-9.22%,6.47%,92.31%
New Haven,20.75%,8.29%,24.79%,12.88%,-4.59%,29.06%
New London,22.01%,9.55%,25.08%,13.17%,-3.61%,27.27%
New Milford,9.65%,-2.81%,5.46%,-6.45%,3.64%,66.22%
Newington,21.63%,9.17%,6.39%,-5.52%,14.69%,85.41%
Newtown,6.25%,-6.21%,2.86%,-9.05%,2.83%,84.08%
North Branford,3.89%,-8.57%,2.31%,-9.60%,1.03%,92.31%
North Haven,8.28%,-4.18%,3.26%,-8.65%,4.46%,93.10%
Norwalk,20.84%,8.38%,22.67%,10.76%,-2.38%,51.58%
Norwich,14.68%,2.22%,10.59%,-1.32%,3.54%,38.63%
Old Saybrook,5.64%,-6.82%,2.93%,-8.98%,2.16%,84.38%
Orange,12.89%,0.43%,2.54%,-9.37%,9.80%,97.64%
Plainfield,4.19%,-8.27%,3.33%,-8.58%,0.31%,71.83%
Plainville,11.34%,-1.12%,5.18%,-6.73%,5.60%,77.36%
Plymouth,5.04%,-7.42%,2.47%,-9.44%,2.01%,97.12%
Portland,1.12%,-11.34%,2.75%,-9.16%,-2.18%,100.00%
Putnam,1.14%,-11.32%,2.20%,-9.71%,-1.60%,75.00%
Redding,8.24%,-4.22%,2.37%,-9.54%,5.32%,94.38%
Ridgefield,10.24%,-2.22%,3.46%,-8.45%,6.23%,93.04%
Rocky Hill,7.74%,-4.72%,4.65%,-7.26%,2.53%,80.59%
Southern CT State University*,8.52%,-3.94%,24.79%,12.88%,-16.81%,58.43%
Seymour,6.60%,-5.86%,5.53%,-6.38%,0.52%,79.74%
Shelton,8.12%,-4.34%,5.17%,-6.74%,2.40%,57.45%
Simsbury,3.42%,-9.04%,2.61%,-9.30%,0.26%,76.99%
South Windsor,10.32%,-2.14%,3.62%,-8.29%,6.16%,84.06%
Southington,6.48%,-5.98%,2.80%,-9.11%,3.13%,77.61%
Stamford,19.74%,7.28%,22.87%,10.96%,-3.69%,26.34%
Stonington,2.68%,-9.78%,1.91%,-10.00%,0.22%,85.33%
Stratford,18.42%,5.96%,11.92%,0.01%,5.95%,65.46%
Suffield,4.25%,-8.21%,2.20%,-9.71%,1.50%,94.44%
Thomaston,4.53%,-7.93%,2.09%,-9.82%,1.89%,96.88%
Torrington,7.80%,-4.66%,6.92%,-4.99%,0.34%,29.69%
Trumbull,15.13%,2.67%,5.06%,-6.85%,9.52%,93.33%
University of Connecticut*,6.15%,-6.31%,5.15%,-6.76%,0.45%,92.16%
Vernon,9.02%,-3.44%,5.21%,-6.70%,3.25%,54.88%
Wallingford,11.91%,-0.55%,6.71%,-5.20%,4.65%,71.82%
Waterbury,27.41%,14.95%,27.54%,15.63%,-0.68%,14.24%
Waterford,11.42%,-1.04%,4.07%,-7.84%,6.79%,86.72%
Watertown,6.28%,-6.18%,2.99%,-8.92%,2.74%,88.75%
Western CT State University*,27.85%,15.39%,23.25%,11.34%,4.05%,18.18%
West Hartford,17.68%,5.22%,8.78%,-3.13%,8.34%,86.71%
West Haven,18.98%,6.52%,15.96%,4.05%,2.47%,51.22%
Weston,5.54%,-6.92%,3.06%,-8.85%,1.93%,95.00%
Westport,8.47%,-3.99%,3.19%,-8.72%,4.74%,96.04%
Wethersfield,27.22%,14.76%,7.10%,-4.81%,19.56%,90.92%
Willimantic,25.15%,12.69%,28.88%,16.97%,-4.28%,18.75%
Wilton,13.12%,0.66%,2.74%,-9.17%,9.83%,94.25%
Windsor,9.25%,-3.21%,7.33%,-4.58%,1.37%,72.02%
Windsor Locks,7.32%,-5.14%,3.46%,-8.45%,3.31%,76.65%
Winsted,4.14%,-8.32%,4.28%,-7.63%,-0.69%,56.52%
Wolcott,8.36%,-4.10%,2.83%,-9.08%,4.97%,67.74%
Woodbridge,9.11%,-3.35%,2.68%,-9.23%,5.88%,96.58%
Yale University*,13.78%,1.32%,24.79%,12.88%,-11.55%,70.47%
Connecticut average,12.50%,0.00%,11.90%,0.00%,,59.65%
