Department Name,residents_total,h_res,h_res_total,h_res_stops,res_diff_h,res_ratio_h
Orange,"11,017",2.54%,538,2.60%,0.06%,1.02
Plainfield,"11,918",3.33%,776,2.58%,-0.75%,0.77
Plainville,"14,605",5.18%,1141,7.36%,2.18%,1.42
Plymouth,"9,660",2.47%,361,0.83%,-1.64%,0.34
Portland,"7,480",2.75%,69,0.00%,-2.75%,0.00
Putnam,"7,507",2.20%,290,1.03%,-1.16%,0.47
Redding,"6,955",2.37%,486,1.85%,-0.52%,0.78
Ridgefield,"18,111",3.46%,2594,2.12%,-1.34%,0.61
Rocky Hill,"16,224",4.65%,1353,4.36%,-0.29%,0.94
Seymour,"13,260",5.53%,1258,3.66%,-1.87%,0.66
Shelton,"32,010",5.17%,311,6.43%,1.26%,1.24
Simsbury,"17,773",2.61%,1469,1.77%,-0.84%,0.68
South Windsor,"20,162",3.62%,1462,4.72%,1.10%,1.31
Southington,"34,301",2.80%,1950,3.08%,0.27%,1.10
Stamford,"98,070",22.87%,4084,22.18%,-0.69%,0.97
Stonington,"15,078",1.91%,923,1.19%,-0.72%,0.62
Stratford,"40,980",11.92%,1319,15.16%,3.24%,1.27
Suffield,"10,782",2.20%,227,1.32%,-0.88%,0.60
Thomaston,"6,224",2.09%,241,0.41%,-1.67%,0.20
Torrington,"29,251",6.92%,3230,9.16%,2.25%,1.33
Trumbull,"27,678",5.06%,570,5.09%,0.03%,1.01
Vernon,"23,800",5.21%,1461,10.13%,4.92%,1.94
Wallingford,"36,530",6.71%,4217,7.99%,1.28%,1.19
Waterbury,"83,964",27.54%,1772,31.94%,4.41%,1.16
Waterford,"15,760",4.07%,1107,6.32%,2.25%,1.55
Watertown,"18,154",2.99%,455,1.98%,-1.01%,0.66
West Hartford,"49,650",8.78%,1567,12.95%,4.17%,1.47
West Haven,"44,518",15.96%,3077,17.61%,1.65%,1.10
Weston,"7,255",3.06%,175,0.57%,-2.49%,0.19
Westport,"19,410",3.19%,1501,1.20%,-1.99%,0.38
Wethersfield,"21,607",7.10%,826,13.44%,6.33%,1.89
Willimantic,"20,176",28.88%,1623,40.85%,11.97%,1.41
Wilton,"12,973",2.74%,1014,3.55%,0.81%,1.30
Windsor,"23,222",7.33%,2079,7.12%,-0.21%,0.97
Windsor Locks,"10,117",3.46%,697,5.60%,2.14%,1.62
Winsted,"9,133",4.28%,315,3.17%,-1.11%,0.74
Wolcott,"13,175",2.83%,186,5.38%,2.55%,1.90
Woodbridge,"7,119",2.68%,183,2.73%,0.05%,1.02
